fid,id,NOM_DPTO,COD_DPTO,municipio,COD_MUN,COD_MUN4,TASA_POBR,POBR_FISDL,PERIM_KM,AREA_KM2,POB_TOTAL,POB_HOMB,POB_MUJER,Shape_Leng,Shape_Area,densidad,2024_TOTAL_HOMBRES_sum,2024_TOTAL_MUJERES_sum,2024_TOTAL_GENERAL_sum,porcentaje_inscritos
"1","1",CHALATENANGO,"04",NUEVA CONCEPCION,"16","0416",46.6,Pobreza Moderada,111.054433163,343.809219455,"28625","13491","15134",1.01535628415,0.0287785095141,"83",2543.000000,2501.000000,5044.000000,17.62096069869
"2","2",CHALATENANGO,"04",AGUA CALIENTE,"01","0401",57.3,Pobreza Alta,59.3385832342,128.497303591,"8261","3820","4441",0.541842218847,0.0107605158936,"64",634.000000,672.000000,1306.000000,15.8092240648832
"3","3",CHALATENANGO,"04",LA PALMA,"12","0412",52.4,Pobreza Alta,75.920712981,150.504556208,"12235","5781","6454",0.696166904001,0.0126086420593,"81",1360.000000,1418.000000,2778.000000,22.7053534940744
"4","4",CHALATENANGO,"04",SAN IGNACIO,"25","0425",55.2,Pobreza Alta,50.1996160331,57.7065362034,"8611","4055","4556",0.460159624891,0.00483544073615,"149",883.000000,952.000000,1835.000000,21.3099523864824
"5","5",CHALATENANGO,"04",CITALA,"04","0404",55.7,Pobreza Alta,59.1406995548,73.6234858813,"4164","1964","2200",0.543241210535,0.00616964319456,"57",538.000000,516.000000,1054.000000,25.312199807877
"6","6",CHALATENANGO,"04",SAN FERNANDO,"22","0422",81.8,Pobreza Severa,36.2437749788,34.4920153238,"2593","1272","1321",0.331888625233,0.00288957392034,"75",124.000000,136.000000,260.000000,10.0269957578095
"7","7",CHALATENANGO,"04",LA REINA,"13","0413",48.6,Pobreza Moderada,62.4074025034,104.799143702,"9525","4503","5022",0.570045860383,0.00877598693295,"91",714.000000,746.000000,1460.000000,15.3280839895013
"8","8",CHALATENANGO,"04",SAN FRANCISCO MORAZAN,"24","0424",77.2,Pobreza Severa,56.0974662648,95.0230669368,"3919","1987","1932",0.512510405114,0.00795796503413,"41",441.000000,380.000000,821.000000,20.9492217402399
"9","9",CHALATENANGO,"04",TEJUTLA,"33","0433",46.2,Pobreza Moderada,69.1194152714,118.866404842,"13608","6565","7043",0.632857928314,0.00995208946402,"114",1429.000000,1431.000000,2860.000000,21.0170487948266
"10","10",CHALATENANGO,"04",DULCE NOMBRE DE MARIA,"08","0408",59.4,Pobreza Alta,49.093912568,66.7859611337,"5051","2377","2674",0.448734980746,0.00559279238888,"76",529.000000,490.000000,1019.000000,20.1742229261532
"11","11",CHALATENANGO,"04",EL PARAISO,"10","0410",48.6,Pobreza Moderada,39.6076755904,57.7681653217,"10483","5072","5411",0.362254202092,0.00483542915559,"181",1229.000000,1126.000000,2355.000000,22.4649432414385
"12","12",CHALATENANGO,"04",SAN RAFAEL,"31","0431",47.6,Pobreza Moderada,35.3014987899,26.8853798915,"4264","1996","2268",0.322784667417,0.00225070618895,"159",333.000000,313.000000,646.000000,15.1500938086304
"13","13",CHALATENANGO,"04",SANTA RITA,"32","0432",41.9,Pobreza Moderada,42.5361435587,49.4010279882,"5985","2881","3104",0.388906608701,0.00413504553463,"121",359.000000,323.000000,682.000000,11.3951545530493
